OMIM:131500	Dominant
OMIM:131600	Dominant
OMIM:131705	Dominant
OMIM:131750	Dominant
OMIM:131760	Dominant
OMIM:131800	Dominant
OMIM:131850	Dominant
OMIM:131880	Dominant
OMIM:131900	Dominant
OMIM:131950	Dominant
OMIM:131960	Dominant
OMIM:132000	Dominant
OMIM:132090	Dominant
OMIM:132100	Dominant
OMIM:132300	Dominant
OMIM:132400	Dominant
OMIM:132450	Dominant
OMIM:132500	Dominant
OMIM:132600	Dominant
OMIM:132700	Dominant
OMIM:132800	Dominant
OMIM:132900	Dominant
OMIM:132990	Dominant
OMIM:133000	Dominant
OMIM:133020	Dominant
OMIM:133100	Dominant
OMIM:133180	Dominant
OMIM:133190	Dominant
OMIM:133200	Dominant
OMIM:133239	Dominant
OMIM:133240	Dominant
OMIM:133500	Dominant
OMIM:133540	Recessive
OMIM:133600	Dominant
OMIM:133690	Dominant
OMIM:133700	Dominant
OMIM:133701	Dominant
OMIM:133705	Dominant
OMIM:133750	Dominant
OMIM:133780	Dominant
OMIM:133800	Dominant
OMIM:133900	Dominant
OMIM:134000	Dominant
OMIM:134200	Dominant
OMIM:134300	Dominant
OMIM:134400	Dominant
OMIM:134430	Dominant
OMIM:134500	Dominant
OMIM:134510	Dominant
OMIM:134520	Dominant
OMIM:134540	Dominant
OMIM:134600	Dominant
OMIM:134610	Dominant
OMIM:134700	Dominant
OMIM:134750	Dominant
OMIM:134780	Others
OMIM:134900	Dominant
OMIM:135100	Dominant
OMIM:135150	Dominant
OMIM:135290	Dominant
OMIM:135300	Dominant
OMIM:135400	Dominant
OMIM:135500	Dominant
OMIM:135550	Dominant
OMIM:135580	Dominant
OMIM:135700	Dominant
OMIM:135750	Dominant
OMIM:135800	Dominant
OMIM:135900	Dominant
OMIM:135950	Dominant
OMIM:136000	Dominant
OMIM:136100	Dominant
OMIM:136120	Recessive
OMIM:136140	Dominant
OMIM:136150	Dominant
OMIM:136200	Dominant
OMIM:136300	Dominant
OMIM:136480	Dominant
OMIM:136500	Dominant
OMIM:136520	Dominant
OMIM:136550	Dominant
OMIM:136600	Dominant
OMIM:136630	Dominant
OMIM:136680	Dominant
OMIM:136760	Recessive
OMIM:136800	Dominant
OMIM:136880	Dominant
OMIM:136900	Dominant
OMIM:137000	Dominant
OMIM:137040	Dominant
OMIM:137050	Dominant
OMIM:137100	Dominant
OMIM:137130	Dominant
OMIM:137200	Recessive
OMIM:137210	Dominant
OMIM:137215	Dominant
OMIM:137270	Dominant
OMIM:137280	Recessive
OMIM:137360	Dominant
OMIM:137370	Dominant
OMIM:137400	Dominant
OMIM:137440	Dominant
OMIM:137500	Dominant
OMIM:137550	Dominant
OMIM:137560	Dominant
OMIM:137575	Dominant
OMIM:137580	Dominant
OMIM:137600	Dominant
OMIM:137700	Dominant
OMIM:137750	Dominant
OMIM:137760	Dominant
OMIM:137800	Dominant
OMIM:137900	Dominant
OMIM:137920	Dominant
OMIM:137940	Dominant
OMIM:137950	Dominant
OMIM:138000	Dominant
OMIM:138070	Dominant
OMIM:138300	Recessive
OMIM:138500	Dominant
OMIM:138770	Dominant
OMIM:138790	Dominant
OMIM:138800	Dominant
OMIM:138920	Dominant
OMIM:138930	Dominant
OMIM:138990	Dominant
OMIM:139000	Dominant
OMIM:139090	Dominant
OMIM:139100	Dominant
OMIM:139210	Dominant
OMIM:139300	Dominant
OMIM:139400	Dominant
OMIM:139450	Dominant
OMIM:139600	Dominant
OMIM:139650	Dominant
OMIM:139750	Dominant
OMIM:139900	Dominant
OMIM:140000	Dominant
OMIM:140300	Dominant
OMIM:140350	Dominant
OMIM:140400	Dominant
OMIM:140450	Dominant
OMIM:140600	Dominant
OMIM:140700	Dominant
OMIM:140850	Dominant
OMIM:140900	Dominant
OMIM:141000	Dominant
OMIM:141200	Dominant
OMIM:141300	Others
OMIM:141350	Dominant
OMIM:141400	Dominant
OMIM:141405	Dominant
OMIM:141500	Dominant
OMIM:141700	Dominant
OMIM:141749	Dominant
OMIM:141750	Dominant
OMIM:142309	Dominant
OMIM:142330	Dominant
OMIM:142335	Dominant
OMIM:142340	Others
OMIM:142395	Dominant
OMIM:142400	Dominant
OMIM:142470	Dominant
OMIM:142500	Dominant
OMIM:142623	Dominant
OMIM:142625	Dominant
OMIM:142630	Dominant
OMIM:142669	Dominant
OMIM:142680	Dominant
OMIM:142690	Dominant
OMIM:142700	Others
OMIM:142900	Dominant
OMIM:142945	Dominant
OMIM:142946	Dominant
OMIM:143000	Dominant
OMIM:143050	Dominant
OMIM:143095	Dominant
OMIM:143100	Dominant
OMIM:143200	Dominant
OMIM:143400	Dominant
OMIM:143465	Dominant
OMIM:143470	Dominant
OMIM:143500	Recessive
OMIM:143850	Dominant
OMIM:143860	Dominant
OMIM:143870	Dominant
OMIM:143880	Dominant
OMIM:143890	Dominant
OMIM:144010	Dominant
OMIM:144020	Dominant
OMIM:144050	Dominant
OMIM:144100	Dominant
OMIM:144110	Dominant
OMIM:144120	Dominant
OMIM:144150	Dominant
OMIM:144200	Dominant
OMIM:144250	Dominant
OMIM:144300	Dominant
OMIM:144400	Dominant
OMIM:144600	Dominant
OMIM:144650	Dominant
OMIM:144700	Others
OMIM:144750	Dominant
OMIM:144755	Dominant
OMIM:144800	Dominant
OMIM:145000	Dominant
OMIM:145001	Dominant
OMIM:145100	Dominant
OMIM:145200	Dominant
OMIM:145250	Dominant
OMIM:145260	Dominant
OMIM:145270	Dominant
OMIM:145290	Dominant
OMIM:145295	Dominant
OMIM:145300	Dominant
OMIM:145350	Dominant
OMIM:145400	Dominant
OMIM:145410	Dominant
OMIM:145420	Dominant
OMIM:145500	Others
OMIM:145590	Dominant
OMIM:145600	Dominant
OMIM:145650	Dominant
OMIM:145680	Dominant
OMIM:145700	Dominant
OMIM:145701	Dominant
OMIM:145750	Dominant
OMIM:145800	Dominant
OMIM:145900	Dominant
OMIM:145980	Dominant
OMIM:146000	Dominant
OMIM:146110	Dominant
OMIM:146160	Dominant
OMIM:146200	Dominant
OMIM:146255	Dominant
OMIM:146300	Dominant
OMIM:146350	Dominant
OMIM:146390	Dominant
OMIM:146400	Dominant
OMIM:146450	Dominant
OMIM:146500	Dominant
OMIM:146510	Dominant
OMIM:146520	Dominant
OMIM:146550	Dominant
OMIM:146590	Dominant
OMIM:146600	Dominant
OMIM:146700	Dominant
OMIM:146720	Dominant
OMIM:146750	Dominant
OMIM:146800	Dominant
OMIM:146830	Dominant
OMIM:146840	Dominant
OMIM:146850	Dominant
OMIM:147050	Dominant
OMIM:147060	Dominant
OMIM:147250	Dominant
OMIM:147251	Dominant
OMIM:147300	Dominant
OMIM:147320	Dominant
OMIM:147330	Dominant
OMIM:147350	Dominant
OMIM:147421	Dominant
OMIM:147430	Dominant
OMIM:147480	Dominant
OMIM:147530	Dominant
OMIM:147540	Dominant
OMIM:147610	Dominant
OMIM:147630	Dominant
OMIM:147710	Dominant
OMIM:147750	Dominant
OMIM:147770	Dominant
OMIM:147791	Others
OMIM:147800	Dominant
OMIM:147820	Dominant
OMIM:147891	Dominant
OMIM:147900	Dominant
OMIM:147920	Dominant
OMIM:147950	Dominant
OMIM:148000	Dominant
OMIM:148050	Dominant
OMIM:148100	Dominant
OMIM:148190	Dominant
OMIM:148200	Dominant
OMIM:148210	Dominant
OMIM:148300	Dominant
OMIM:148350	Dominant
OMIM:148360	Dominant
OMIM:148370	Dominant
OMIM:148390	Dominant
OMIM:148500	Dominant
OMIM:148520	Dominant
OMIM:148600	Dominant
OMIM:148700	Dominant
OMIM:148730	Dominant
OMIM:148800	Dominant
OMIM:148820	Recessive
OMIM:148840	Dominant
OMIM:149000	Others
OMIM:149100	Dominant
OMIM:149200	Dominant
OMIM:149300	Dominant
OMIM:149400	Dominant
OMIM:149500	Dominant
OMIM:149600	Dominant
OMIM:149700	Dominant
OMIM:149730	Dominant
OMIM:150170	Dominant
